game_id,matchup,date,name,usage %,minutes,jokic_playing
0022500537,DEN vs. ATL,2026-01-09,DaRon Holmes II,12.77,15,False
0022500600,DEN vs. WAS,2026-01-17,Bruce Brown,12.55,25,False
0022500232,DEN @ MIN,2025-11-15,Bruce Brown,12.55,30,True
0022500274,DEN vs. SAC,2025-11-22,Bruce Brown,12.41,27,True
0022500104,DEN vs. PHX,2025-10-25,Tim Hardaway Jr.,12.33,26,True
0022500787,DEN vs. MEM,2026-02-11,Christian Braun,12.28,39,True
0022500299,DEN @ PHX,2025-11-29,Bruce Brown,12.19,27,True
0022500386,DEN vs. HOU,2025-12-20,Spencer Jones,12.17,28,True
0022500496,DEN @ BKN,2026-01-04,DaRon Holmes II,12.04,15,False
0022500325,DEN @ IND,2025-12-03,Cameron Johnson,12.0,34,True
0022500189,DEN vs. IND,2025-11-08,Jalen Pickett,11.9,17,True
0022500695,DEN vs. LAC,2026-01-30,Bruce Brown,11.78,26,True
0022500716,DEN @ DET,2026-02-03,Bruce Brown,11.78,23,True
0022500013,DEN vs. MIN,2025-12-25,Spencer Jones,11.7,41,True
0022500752,DEN @ CHI,2026-02-07,Christian Braun,11.68,32,True
0022500567,DEN @ NOP,2026-01-13,Spencer Jones,11.68,23,False
0022500767,DEN vs. CLE,2026-02-09,Bruce Brown,11.65,25,True
0022500537,DEN vs. ATL,2026-01-09,Bruce Brown,11.49,24,False
0022500212,DEN @ SAC,2025-11-11,Christian Braun,11.43,30,True
0022500567,DEN @ NOP,2026-01-13,Bruce Brown,11.42,24,False
0022500716,DEN @ DET,2026-02-03,Christian Braun,11.35,26,True
0022500026,DEN @ POR,2025-10-31,Cameron Johnson,11.23,31,True
0022500359,DEN @ CHA,2025-12-07,Spencer Jones,11.22,25,True
0022500600,DEN vs. WAS,2026-01-17,Zeke Nnaji,11.2,16,False
0022500726,DEN @ NYK,2026-02-04,Tim Hardaway Jr.,11.19,41,True
0022501225,DEN vs. HOU,2025-12-15,Cameron Johnson,11.12,43,True
0022500478,DEN @ CLE,2026-01-02,Spencer Jones,11.09,36,False
0022500478,DEN @ CLE,2026-01-02,DaRon Holmes II,11.09,24,False
0022500668,DEN vs. DET,2026-01-27,Jalen Pickett,11.0,16,False
0022500006,DEN @ GSW,2025-10-23,Christian Braun,11.0,38,True
0022500629,DEN @ WAS,2026-01-22,Jalen Pickett,10.87,33,False
0022500684,DEN vs. BKN,2026-01-29,Zeke Nnaji,10.8,23,False
0022500752,DEN @ CHI,2026-02-07,Bruce Brown,10.68,31,True
0022500617,DEN vs. LAL,2026-01-20,Zeke Nnaji,10.67,18,False
0022500787,DEN vs. MEM,2026-02-11,Cameron Johnson,10.62,29,True
0022500224,DEN @ LAC,2025-11-12,Christian Braun,10.5,16,True
0022500359,DEN @ CHA,2025-12-07,Cameron Johnson,10.5,39,True
0022501225,DEN vs. HOU,2025-12-15,Spencer Jones,10.48,41,True
0022500162,DEN vs. SAC,2025-11-03,Peyton Watson,10.43,16,True
0022500415,DEN @ DAL,2025-12-23,Spencer Jones,10.32,26,True
0022500537,DEN vs. ATL,2026-01-09,Jalen Pickett,10.16,33,False
0022500340,DEN @ ATL,2025-12-05,Bruce Brown,10.15,32,True
0022500496,DEN @ BKN,2026-01-04,Bruce Brown,10.03,18,False
0022500575,DEN @ DAL,2026-01-14,Spencer Jones,10.0,32,False
0022500711,DEN vs. OKC,2026-02-01,Jalen Pickett,9.93,18,True
0022500189,DEN vs. IND,2025-11-08,Spencer Jones,9.87,20,True
0022500520,DEN @ BOS,2026-01-07,Christian Braun,9.85,30,False
0022500299,DEN @ PHX,2025-11-29,Peyton Watson,9.67,28,True
0022500224,DEN @ LAC,2025-11-12,Peyton Watson,9.6,22,True
0022500134,DEN vs. NOP,2025-10-29,Cameron Johnson,9.53,27,True
0022500134,DEN vs. NOP,2025-10-29,Bruce Brown,9.21,19,True
0022500468,DEN @ TOR,2025-12-31,Spencer Jones,9.19,38,False
0022500496,DEN @ BKN,2026-01-04,Christian Braun,9.18,24,False
0022500212,DEN @ SAC,2025-11-11,Peyton Watson,9.16,19,True
0022500450,DEN @ MIA,2025-12-29,Spencer Jones,9.13,33,True
0022500787,DEN vs. MEM,2026-02-11,Bruce Brown,9.1,29,True
0022500359,DEN @ CHA,2025-12-07,Jalen Pickett,8.77,16,True
0022500767,DEN vs. CLE,2026-02-09,Cameron Johnson,8.76,29,True
0022500640,DEN @ MIL,2026-01-23,DaRon Holmes II,8.68,16,False
0022500287,DEN @ MEM,2025-11-24,Spencer Jones,8.64,15,True
0022500507,DEN @ PHI,2026-01-05,Spencer Jones,8.54,44,False
0022500006,DEN @ GSW,2025-10-23,Peyton Watson,8.36,16,True
0022500567,DEN @ NOP,2026-01-13,Zeke Nnaji,8.31,22,False
0022500726,DEN @ NYK,2026-02-04,Christian Braun,8.15,43,True
0022500668,DEN vs. DET,2026-01-27,Spencer Jones,8.0,33,False
0022500496,DEN @ BKN,2026-01-04,Zeke Nnaji,7.52,18,False
0022500013,DEN vs. MIN,2025-12-25,Peyton Watson,7.5,42,True
0022500006,DEN @ GSW,2025-10-23,Bruce Brown,7.33,19,True
0022500640,DEN @ MIL,2026-01-23,Spencer Jones,7.31,38,False
0022500162,DEN vs. SAC,2025-11-03,Tim Hardaway Jr.,7.26,23,True
0022501225,DEN vs. HOU,2025-12-15,Bruce Brown,7.17,27,True
